MN#,Date,Mouse#,Mouse age,Mouse DoB,Mouse sex,Mouse genotype,Mouse COMMENT,Nerve,Depth,Electrode TYPE,Electrode resistance,USER,Vm (mV),,GinPeak,GinPlat,SR,Ion (nA),asc slope (Hz/nA),Vth (mV)
96,18/11/2008,49,41,39729,male,-/-,male - eartag #8893 cage #332082,vS2L,118,K-Acetate 2M,37,Marin,-61,346.0207612,0.346020761,0.446428571,1.29,,,
98,18/11/2008,49,41,39729,male,-/-,male - eartag #8893 cage #332082,vS2R,82,K-Acetate 2M,40,Marin,-60,70.77140835,0.070771408,0.082987552,1.17,,,
100,18/11/2008,49,41,39729,male,-/-,male - eartag #8893 cage #332082,vS2L,173,K-Acetate 2M,40,Marin,-68,225.7336343,0.225733634,0.325732899,1.44,,,
109,02/01/2009,59,51,39764,,-/-,"cage#: A26643, ear tag#: 9012",vS2L,380,K-Acetate 2M,31,Sherif,-62,118.7648456,0.118764846,0.142045455,1.2,,,
111,02/01/2009,59,51,39764,,-/-,"cage#: A26643, ear tag#: 9012",vS1R,168,K-Acetate 2M,31,Sherif,-66,104.0582726,0.104058273,0.119617225,1.15,0.860291,7.379871,-49.4
128,23/01/2009,67,46,39790,female,-/-,female - eartag #9149 - cage #17545,vS2R,126,K-Acetate 2M,11,Marin,-62,172.1170396,0.17211704,0.198412698,1.15,3.128052,10.812397,-41.97
155,13/02/2009,77,44,39813,male,-/-,male - eartag 9292 - cage 347390,vS3L,170,K-Acetate 2M,60,Marin,-55,69.49270327,0.069492703,0.073529412,1.06,,,
179,19/06/2009,89,49,39934,male,-/-,male,vS2L,72,KCl/KAcetate 2M,75,Marin,-55,81.36696501,0.081366965,0.081366965,1,,,
181,19/06/2009,89,49,39934,male,-/-,male,vS2L,126,KCl/KAcetate 2M,75,Marin,-64,194.9317739,0.194931774,0.238095238,1.22,,,
188,14/07/2009,92,46,39962,female,-/-,"female, age: 46 days, ear tag: 814, cage#: 375574",vS3R,150,KCl/KAcetate 2M,65,Sherif,-56,79.55449483,0.079554495,0.108695652,1.37,2.929949,3.135401,-33.4
207,23/07/2009,97,45,39972,male,-/-,"male, ear tag: 838, cage#: 380265",vS2R,148,KCl/KAcetate 2M,53,Sherif,-69,223.7136465,0.223713647,0.248756219,1.11,,,
213,12/08/2009,101,44,39993,female,-/-,female - eartag #591,vS1R,65,KCl/KAcetate 2M,48,Marin,-62,98.91196835,0.098911968,0.10384216,1.05,4.542236,5.794476,
225,04/09/2009,103,46,40014,male,-/-,male - eartag 1051,vS1L,168,KCl/KAcetate 2M,46,Marin,-60,163.9344262,0.163934426,0.173310225,1.06,3.557434,8.318489,-37.19
228,18/09/2009,105,46,40028,female,-/-,female - eartag 1111,vS2L,178,KCl/KAcetate 2M,45,Marin,-62,110.3752759,0.110375276,0.12300123,1.11,1.44043,,-38.83
229,18/09/2009,105,46,40028,female,-/-,female - eartag 1111,vS2L,161,KCl/KAcetate 2M,45,Marin,-65,67.06908115,0.067069081,0.072674419,1.08,0.419922,25.43,-52.46
231,18/09/2009,105,46,40028,female,-/-,female - eartag 1111,vS2L,117,KCl/KAcetate 2M,50,Marin,-62,64.39150032,0.0643915,0.070771408,1.1,,,
235,23/09/2009,106,44,40035,female,-/-,female,vS1R,277,KCl/KAcetate 2M,45,Marin,-63,168.6340641,0.168634064,0.210084034,1.25,,,
244,05/11/2009,114,49,40073,female,-/-,female - eartag 1503 - protocol 2008-1320-1,vS3L,185,KCl/KAcetate 2M,45,Marin,-57,66.09385327,0.066093853,0.067613252,1.02,,,
245,05/11/2009,114,49,40073,female,-/-,female - eartag 1503 - protocol 2008-1320-1,vS3L,198,KCl/KAcetate 2M,45,Marin,-60,97.94319295,0.097943193,0.10845987,1.11,1.882324,11.570165,-39.64
246,05/11/2009,114,49,40073,female,-/-,female - eartag 1503 - protocol 2008-1320-1,vS3L,158,KCl/KAcetate 2M,45,Marin,-60,115.0747986,0.115074799,0.125786164,1.09,1.685515,15.53,-42.18
248,11/11/2009,115,48,40080,female,-/-,female - eartag 1534 - protocol 2007-0676-6,vS2R,160,KCl/KAcetate 2M,45,Marin,-68,94.16195857,0.094161959,0.107526882,1.14,6.73584,4.18,
255,27/01/2010,124,42,40163,male,-/-,male - eartag 1990,vS2R,110,KCl/KAcetate 2M,40,Marin,-57,271.7391304,0.27173913,0.35335689,1.3,1.557617,8.39,-46.94
259,10/02/2010,128,46,40173,female,-/-,female - eartag 2104,vS2R,120,KCl/KAcetate 2M,40,Marin,-61,105.7082452,0.105708245,0.109289617,1.03,2.641296,6.905596,
260,10/02/2010,128,46,40173,female,-/-,female - eartag 2104,vS2R,199,KCl 3M,25,Marin,-63,175.4385965,0.175438596,0.194931774,1.11,,,
263,17/02/2010,129,47,40179,female,-/-,female - eartag 2121,vS1L,176,K-Acetate 2M,35,Marin,-63,48.33252779,0.048332528,0.049358342,1.02,,,
264,17/02/2010,129,47,40179,female,-/-,female - eartag 2121,vS1L,159,K-Acetate 2M,35,Marin,-60,57.30659026,0.05730659,0.05730659,1,,,
266,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS2L,190,KCl/KAcetate 2M,50,Marin,-54,160.5136437,0.160513644,0.187969925,1.17,,,
269,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS2L,234,KCl/KAcetate 2M,50,Marin,-67,90.0090009,0.090009001,0.102564103,1.14,6.705322,1.65,
270,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS2R,144,KCl/KAcetate 2M,50,Marin,-57,88.33922261,0.088339223,0.09487666,1.07,,,
272,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS2R,145,KCl/KAcetate 2M,50,Marin,-60,110.1321586,0.110132159,0.120048019,1.09,,,
274,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS3R,109,KCl/KAcetate 2M,45,Marin,-53,223.2142857,0.223214286,0.318471338,1.43,9.099121,1.76,
279,03/03/2010,132,48,40192,female,-/-,female - eartag 2214,vS2L,102,KCl/KAcetate 2M,85,Marin,-60,89.68609865,0.089686099,0.102564103,1.14,2.486572,3.702123,-39.98
283,10/03/2010,139,45,40202,female,-/-,female eartag 2238,vS2R,144,KCl/KAcetate 2M,45,Marin,-62,63.93861893,0.063938619,0.071479628,1.12,0.546265,18.36,-48.07
303,23/04/2010,159,46,40245,female,-/-,FEMALE - EARTAG 2515,vS1L,128,KCl/KAcetate 2M,35,Marin,-54,177.6198934,0.177619893,0.219298246,1.23,3.289795,3.66,-53.06
