Vm,Rin,tau,sag ratio,AP threshold,AP amplitude,AP duration,dv/dt ratio,steady state F,instantaneous F,adaptation index
-70.0162,74.8057,1.1691,4.5566,-51.2829,84.5016,0.2988,-0.4992,140.3226,426.0235,0.33
-75.0081,45.9423,3.6031,14.6644,-54.1195,67.9928,0.3596,-0.5078,75.8065,330.1607,0.2316
-78.0324,141.6012,12.5039,8.0986,-44.749,66.9874,0.3596,-0.5671,56.4516,224.0809,0.2574
-71.9838,144.0428,10.3712,13.7855,-51.251,77.123,0.221,-0.6804,32.7957,57.8955,0.6203
-70.0162,153.093,11.2052,18.4617,-53.1633,82.6278,0.2627,-0.6315,20.4301,33.647,0.6999
-71.0364,32.4041,3.5059,22.0015,-54.1195,76.2535,0.2695,-0.5602,47.3118,207.6091,0.2478
-64.9879,69.6283,8.2732,18.467,-49.4024,71.5567,0.2988,-0.5002,45.1613,203.8293,0.229
-68.996,72.7654,10.8073,19.4805,-49.4024,81.0214,0.2638,-0.6092,30.1075,50.427,0.6529
-69.9798,65.4673,8.2747,13.7988,-51.251,73.439,0.2796,-0.5998,50.5376,148.9603,0.3507
-72.0567,124.9517,8.4087,11.5276,-53.1952,80.9571,0.2526,-0.659,36.0215,60.7786,0.6387
-70.0162,83.5672,5.576,17.4672,-45.6733,66.9311,0.3281,-0.6118,32.7957,46.7515,0.7815
-63.9676,52.9652,2.9767,11.1537,-51.3147,66.9327,0.3224,-0.5294,33.3333,187.4748,0.182
-69.9798,78.3633,7.3774,11.1573,-47.5857,76.2633,0.2503,-0.6591,52.6882,127.4343,0.4302
-71,38.0217,5.2114,20.254,-53.1952,80.8957,0.212,-0.6316,71.5054,349.9759,0.2147
-72.9676,46.7241,4.6788,7.2462,-51.2829,66.9375,0.2909,-0.5776,82.7957,385.846,0.2193
-66.0081,67.6004,6.8795,14.7013,-51.251,72.4417,0.3112,-0.6102,39.2473,105.8519,0.3832
-68.996,23.7816,6.2136,55.5039,-43.761,69.5575,0.2424,-0.6592,39.7849,48.3645,0.9522
-71.9838,62.7443,6.4476,16.7281,-47.5219,73.5188,0.2819,-0.6377,59.1398,205.7029,0.3011
-74.0243,78.75,6.1816,14.5828,-49.4343,76.0703,0.239,-0.6781,100,350.2538,0.2847
-66.9919,44.6703,2.9156,16.6066,-50.3586,67.0784,0.3202,-0.5296,55.3763,185.3471,0.3127
-75.0445,25.1994,2.8831,10.1671,-54.0558,88.4221,0.1951,-0.6215,210.7527,508.923,0.411
-77.0486,37.7267,2.3837,8.2753,-47.49,62.182,0.2999,-0.5897,79.5699,384.9364,0.2119
-69.9798,64.8645,9.7844,18.5092,-51.251,70.7741,0.2627,-0.6618,29.5699,53.7965,0.5819
-69.9798,48.5229,3.2184,7.1435,-50.3904,73.3927,0.31,-0.4996,211.828,465.6062,0.4554
-69.9798,49.9209,6.4857,6.3883,-50.3586,63.3939,0.292,-0.5923,59.1398,152.3602,0.3851
-66.0081,142.1016,9.8864,17.6332,-47.5219,64.2677,0.4295,-0.5314,36.0215,114.0541,0.3522
-66.9919,93.7611,6.7204,17.6363,-47.49,62.3229,0.372,-0.5203,59.6774,169.0838,0.3592
-74.9717,107.3325,14.2879,20.2909,-46.5657,71.7206,0.638,-0.3495,18.2796,149.9677,0.1414
-69.9798,35.6871,1.9885,10.0618,-53.1633,63.3997,0.3517,-0.5873,162.3656,421.0974,0.3896
-74.9717,13.0834,3.7226,24.2119,-42.7729,62.327,0.3427,-0.5813,78.4946,421.1712,0.1904
-70.0162,45.7875,4.6899,14.8673,-47.5219,81.0533,0.2447,-0.6508,106.9892,384.1352,0.2817
-73.9879,108.054,7.5907,11.9648,-49.4024,84.4106,0.2514,-0.6217,62.9032,203.8879,0.3145
-66.9919,23.8869,2.1913,8.4303,-41.8167,69.7813,0.4227,-0.5401,165.0538,432.832,0.3707
-66.9919,88.9371,4.4253,7.2964,-49.3705,63.4738,0.4397,-0.5813,74.1935,205.2709,0.3706
-77.996,61.8134,3.126,10.2044,-52.239,62.4681,0.4723,-0.5093,81.7204,368.9987,0.223
-64.9879,52.0805,7.1934,10.9646,-44.6853,65.1545,0.4419,-0.5385,45.6989,151.6763,0.3073
-70.9636,14.8698,3.3941,39.7673,-49.4343,62.4042,0.2943,-0.5514,89.2473,462.456,0.1924
-72.0202,53.1375,1.7281,7.433,-51.251,79.117,0.3022,-0.5411,136.0215,498.3087,0.2697
-68.996,22.5355,4.3955,50.004,-47.5219,67.9774,0.5185,-0.5316,46.7742,274.5796,0.169
-75.9919,22.8901,4.6962,41.5438,-51.251,81.1331,0.54,-0.4115,39.2473,236.2735,0.1806
-78.0324,52.8093,4.4969,23.9886,-51.2829,79.1212,0.54,-0.4278,60.2151,302.8206,0.1946
-71.9838,56.2938,6.3976,19.3175,-52.2072,80.7335,0.292,-0.6587,58.6022,189.0683,0.3187
