cell,ExpDate,Nerve,MouseAge,MouseWeight,MouseSex,Genotype,NbTransgenes,AgeGroup,G+A,PIC Amp,PIC/Gin,V_PIC onset,V_PIC peak,PICdown Amp,PICdown/Gin,V_PIC offset,V_PICdown peak,Gin,RepFiring,Ion,Ioff,∆I,∆F,Gain_Asc,Vth,Gain_Desc,I_SPR-PR,F_SPR-PR,RMP,∆Vth,∆V_PIC onset,∆V_PIC peak
128,20140117,sciatic,71,26,,WT,0,P60–90,WT_P60–90,2.1,7.777777778,-63,-46.5,2.41,8.925925926,-67.6,-45.3,0.27,Firing,2.2,1.6,-0.6,2.4,9.226122,-48,12.192781,3.3,41.74,-60.73,12.73,-2.27,14.23
130,20140117,sciatic,71,26,,WT,0,P60–90,WT_P60–90,1.9,7.916666667,-70.7,-45.1,2.37,9.875,-73.6,-45.2,0.24,Firing,3.9,3.3,-0.6,11.5,28.222264,-52.7,14.973606,4.4,41.49,-69.24,16.54,-1.46,24.14
141,20140129,Tibial,72,19,,SOD1,,P60–90,SOD1_P60–90,0.6,1.5,-48.2,-45.3,0.24,0.6,-46.4,-46.8,0.4,Firing,0.813105,0.8575,0.044396,7.528744,31.251048,-50.674438,40.733966,1.252688759,38.06444129,-58.3,7.625562,10.1,13
143,20140129,EPSP_Tibial,72,19,,SOD1,,P60–90,SOD1_P60–90,3.3,7.021276596,-51.8,-35.8,2.8,5.957446809,-54.5,-37.8,0.47,Firing,4,3,-1,-8.2,11.065908,-38.5,4.790233,4.5,28.3,-62.5,24,10.7,26.7
147,20140206,tibial,90,17,,WT,0,P60–90,WT_P60–90,3.4,11.72413793,-61.4,-33.1,0.03,0.103448276,-56.6,-28.7,0.29,Firing,4.7,6.8,2.1,56,6.72355,-36.4,112.635632,5.3,67.3,-52.53,16.13,-8.87,19.43
148,20140206,tibial,90,17,,WT,0,P60–90,WT_P60–90,1.2,4.615384615,-56.5,-42.4,1.09,4.192307692,-58.6,-41.7,0.26,Firing,2.7,3.3,0.5,-3.2,14.844036,-43.9,31.782837,3.9,69.4,-59.8,15.9,3.3,17.4
160,20140211,tibial,40,19,,WT,0,P30–60,WT_P30–60,4.8,13.71428571,-70.7,-44.2,5.24,14.97142857,-70.2,-43.1,0.35,Firing,4.4,4.4,0,2.2,10.554311,-42.5,16.126169,5.1,48.4,-69.3,26.8,-1.4,25.1
169,20140212,CP,43,23,,WT,0,P30–60,WT_P30–60,1.1,6.875,-57,-32.7,3.13,19.5625,-58.4,-31.1,0.16,Firing,2.8,2.5,-0.3,2.7,8.332504,-35.2,11.680419,3.8,61.8,-62.44,27.24,5.44,29.74
238,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,0,0,-47.3,-47.3,0.19,0.863636364,-46.4,-45.2,0.22,Firing,0.688898,2.078102,1.389204,-11.20062,11.017985,-44.647217,11.017985,,30.1,-51.9,7.252783,4.6,4.6
239,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,1.4,5.384615385,-57.5,-48.3,2.11,8.115384615,-55.5,-45.1,0.26,Firing,1.4,2,0.6,14.7,10.426311,-49,18.79268,3.4,48.6,-61,12,3.5,12.7
241,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,2.8,4.745762712,-62.5,-51.4,2.48,4.203389831,-64.5,-48.2,0.59,Firing,7.8,11,3.3,-0.3,,-50.1,,,,-68.3,18.2,5.8,16.9
245,20140314,?,38,18,,WT,0,P30–60,WT_P30–60,1.2,2.926829268,-60.4,-49,0.78,1.902439024,-60.5,-50.3,0.41,Firing,4.5,6.9,2.4,25.3,,-50,,,,-60.8,10.8,0.4,11.8
250,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,0.5,1.724137931,-58.6,-47.6,1.43,4.931034483,-59.9,-46.6,0.29,Firing,1.4,2.2,0.8,-1.7,15.093798,-58.5,19.013073,2.9,40.5,-65.43,6.93,6.83,17.83
252,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,1.5,3.125,-53.4,-40,1.62,3.375,-56.5,-42.7,0.48,Firing,9.6,11.9,2.2,11.2,,-46.4,,,,-69.6,23.2,16.2,29.6
254,20140314,tibial,38,18,,WT,0,P30–60,WT_P30–60,0.9,1.875,-51.5,-45.5,0.34,0.708333333,-50.7,-49.8,0.48,Firing,6.6,9.2,2.7,8.5,,-44.4,,,,-56.8,12.4,5.3,11.3
292,20140320,tibial,44,20,,WT,0,P30–60,WT_P30–60,0.6,2.068965517,-66.1,-44.2,2.04,7.034482759,-65.4,-41.7,0.29,Firing,1.6,1.8,0.2,19.1,,-46.1,,,,-55.4,9.3,-10.7,11.2
274,20140320,?,44,20,,WT,0,P30–60,WT_P30–60,0.6,1.818181818,-54.8,-43.3,0.51,1.545454545,-51.7,-42.9,0.33,Firing,3.7,5.9,2.2,-37.6,9.430857,-48.1,23.998591,5.8,49.8,-61.1,13,6.3,17.8
290,20140320,tibial,44,20,,WT,0,P30–60,WT_P30–60,1.3,5.2,-61.5,-41.8,0.72,2.88,-57.7,-39.3,0.25,Firing,0.9,1.7,0.8,-1.5,,-46.5,,,,-63.9,17.4,2.4,22.1
282,20140320,?,44,20,,WT,0,P30–60,WT_P30–60,2.7,9.642857143,-55.6,-41,3.31,11.82142857,-59.2,-42.5,0.28,Firing,2.6,2,-0.6,-11.1,13.103225,-42.6,12.326865,3.3,44.1,-63.7,21.1,8.1,22.7
295,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,5.8,11.37254902,-53.5,-40.3,6.77,13.2745098,-53.9,-41.3,0.51,Firing,4.6,5,0.4,-7.4,,-37.5,,,,-60.45,22.95,6.95,20.15
296,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,2.3,4.181818182,-61.2,-49.4,1.61,2.927272727,-63.7,-49.8,0.55,Firing,4.5,5.3,0.8,-0.1,,-48.8,,,,-64.8,16,3.6,15.4
309,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,0.1,0.142857143,-47.1,-47.1,0.18,0.257142857,-48.7,-49.51,0.7,Firing,9.1,11.7,2.6,-6.2,,-40.5,,,,-60,19.5,12.9,12.9
314,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,5,10,-66.4,-44,4.66,9.32,-68,-44.57,0.5,Firing,6.2,6.8,0.6,17.4,4.609975,-49,17.584491,7.8,84.2,-67.95,18.95,1.55,23.95
320,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,3.2,5.245901639,-54,-38.7,2.92,4.786885246,-55,-37.7,0.61,Firing,5.9,8.7,2.8,1.7,3.561428,-37,45.596859,8.6,53.1,-52.4,15.4,-1.6,13.7
324,20140403,tibial,43,26,,WT,0,P30–60,WT_P30–60,7.9,11.61764706,-63.4,-36.9,10.4,15.29411765,-68.9,-39.4,0.68,Firing,11.5,11.4,-0.1,8.3,6.873959,-44.8,15.984344,12.7,82.4,-70,25.2,6.6,28.6
346,20140417,Tibial,111,26,,SOD1,,P90–120,SOD1_P90–120,3.5,10.29411765,-68.5,-47.6,5,14.70588235,-70.1,-46.2,0.34,Firing,3.9,3.4,-0.5,8.7,16.776859,-53.3,15.207859,3.7,46.8,-68.6,15.3,0.1,21
354,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,1.3,7.222222222,-61.4,-41.4,1.15,6.388888889,-57.5,-40,0.18,Firing,2.2,2.6,0.4,3.8,10.664927,-47.1,19.120232,2.6,54.6,-63.6,16.5,2.2,22.2
356,20140422,CP,116,22,,SOD1,,P90–120,SOD1_P90–120,1.5,6.818181818,-59.6,-40.2,1.3,5.909090909,-60.8,-41,0.22,Firing,1.2,2.5,1.3,-11.5,7.142338,-43,18.188795,2.8,65.2,-57.2,14.2,-2.4,17
359,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,2,4.651162791,-51,-38.6,2.11,4.906976744,-53.5,-39,0.43,Firing,1.8,3,1.2,-1,7.127932,-39.9,16.035375,3.3,46.3,-50.1,10.2,-0.9,11.5
352,20140422,Tibial,116,22,,SOD1,,P90–120,SOD1_P90–120,1.4,8.75,-65.4,-53.6,1.4,8.75,-67.8,-53,0.16,Firing,0.36,0.06,-0.3,12.2,38.186708,-52.6,28.361897,-0.5,33.5,-60.9,8.3,-4.5,7.3
363,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,0.9,5,-55.3,-48.2,1.14,6.333333333,-57.9,-46,0.18,Firing,0.9,1.8,0.9,4,8.610758,-52.7,18.795362,-3,29.03,-67.31,14.61,12.01,19.11
367,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,6.9,17.69230769,-66.5,-47.4,7.23,18.53846154,-68,-47,0.39,Firing,1.2,1.8,0.6,9.3,5.826711,-49.3,13.127409,2.7,51.9,-65.2,15.9,-1.3,17.8
365,20140501,Tibial,122,21,,SOD1,,P90–120,SOD1_P90–120,0.9,4.5,-53.7,-39.1,0.57,2.85,-55.8,-39.5,0.2,Firing,2.2,1.8,-0.4,-3,5.81156,-43.5,7.099957,3.1,27.13,-65.1,21.6,11.4,26
386,20140527,tibial,113,23,,WT,0,P90–120,WT_P90–120,0.7,1.458333333,-54.1,-47.5,2.38,4.958333333,-55.9,-47.3,0.48,Firing,3.2,6.4,3.4,16.8,,-49,,,,-65.3,16.3,11.2,17.8
393,20140527,tibial,113,23,,WT,0,P90–120,WT_P90–120,1.7,1.931818182,-57.1,-48,1.23,1.397727273,-61.7,-52,0.88,Non-firing,12.08,,,,,-48.4,,,,-66.2,17.8,9.1,18.2
398,20140527,tibial,113,23,,WT,0,P90–120,WT_P90–120,0.1,0.153846154,-50.5,-49.8,0.5,0.769230769,-55.1,-46,0.65,Non-firing,4.03,,,,,-44.7,,,,-51.4,6.7,0.9,1.6
430,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,1.4,3.333333333,-59.6,-47.7,1.87,4.452380952,-62.2,-46.3,0.42,Firing,6.7,8,1.3,-5.7,,-47.8,,,,-70,22.2,10.4,22.3
439,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,0.8,2.352941176,-55.6,-46.4,0.78,2.294117647,-57,-46,0.34,Firing,3.2,4.5,1.3,-9.7,4.965869,-45.3,12.78732,4.8,57.2,-64.8,19.5,9.2,18.4
432,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,1.9,6.333333333,-55.4,-43,2.18,7.266666667,-60.2,-43,0.3,Firing,3.4,2.8,-0.6,-10,9.909814,-45.4,12.020151,3.9,46.8,-64.6,19.2,9.2,21.6
415,20140708,sciatic,74,24,,SOD1,,P60–90,SOD1_P60–90,0.5,1.162790698,-58.8,-46,0.5,1.162790698,-58.9,-50.5,0.43,Non-firing,,,,,,,,,,-60.1,,1.3,14.1
445,20140709,sciatic,75,20,F,SOD1,55,P60–90,SOD1_P60–90,1,3.448275862,-58.2,-40.2,3.02,10.4137931,-55.4,-38.2,0.29,Firing,4,4.2,0.2,17.4,10.307166,-41,15.745739,5,43,-60.3,19.3,2.1,20.1
442,20140709,sciatic,75,20,F,SOD1,55,P60–90,SOD1_P60–90,3.2,4.923076923,-59.1,-46.2,5.81,8.938461538,-59.5,-46.2,0.65,Firing,10.8,12.1,1.3,-4.2,4.621454,-50.7,28.519479,11.9,52.72,-69.7,19,10.6,23.5
453,20140709,sciatic,75,20,F,SOD1,55,P60–90,SOD1_P60–90,2.9,5.918367347,-49.4,-34.9,4.28,8.734693878,-55.9,-33.5,0.49,Firing,12.9,14,1.1,18.6,,-33.5,,,,-66.7,33.2,17.3,31.8
450,20140709,sciatic,75,20,F,SOD1,55,P60–90,SOD1_P60–90,0.9,2.5,-57.7,-42,1.28,3.555555556,-58.1,-43,0.36,Non-firing,,,,,,,,,,-60,,2.3,18
472,20140718,sciatic,84,29,M,WT,0,P60–90,WT_P60–90,1,2.222222222,-65,-54.7,0.54,1.2,-63,-55.2,0.45,Firing,3.7,4.1,0.4,-11,,-62.2,,,,-73.4,11.2,8.4,18.7
459,20140718,sciatic,84,29,M,WT,0,P60–90,WT_P60–90,6.3,11.45454545,-53,-28.8,9.4,17.09090909,-55,-26,0.55,Firing,7.5,10.6,3.1,2.7,5.987578,-41.9,31.346804,10.2,65.5,-66.7,24.8,13.7,37.9
462,20140718,sciatic,84,29,M,WT,0,P60–90,WT_P60–90,3.8,7.450980392,-56.9,-31.8,4.56,8.941176471,-55.7,-29.4,0.51,Firing,9.9,12.4,2.5,-4.7,,-33.5,,,,-59.4,25.9,2.5,27.6
463,20140718,sciatic,84,29,M,WT,0,P60–90,WT_P60–90,1.7,3.541666667,-60.2,-46.8,0.62,1.291666667,-60.6,-47.8,0.48,Firing,4.5,9.6,5.1,2,,-50.2,,,,-60.7,10.5,0.5,13.9
481,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,4.6,8.846153846,-62.7,-41.8,3.82,7.346153846,-63.8,41.4,0.52,Firing,10.4,13.4,3,19,2.459792,-44.4,13.39084,12.7,53.9,-75.9,31.5,13.2,34.1
476,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,0.6,5,-62.8,-51.9,0.5,4.166666667,-61.9,-50.4,0.12,Firing,1.32,1.1,-0.2,3.7,11.77772,-55.7,15.173813,2.5,40.7,-70.8,15.1,8,18.9
479,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,4.6,12.77777778,-64.3,-44,6.88,19.11111111,-64.8,-43.8,0.36,Firing,3.9,3.5,-0.4,-2.8,8.3194,-48.2,16.408583,4.7,48.8,-71.4,23.2,7.1,27.4
487,20140723,sciatic,89,18,F,SOD1,61,P60–90,SOD1_P60–90,1.4,5,-63.6,-49,1.26,4.5,-63.7,-48,0.28,Non-firing,,,,,,,,,,,,,
683,20150219,sicatic,75,26,F,SOD1,49,P60–90,SOD1_P60–90,1.3,2.888888889,-54.6,-42.9,1.61,3.577777778,-56.5,-43.1,0.45,Firing,2.6,3.9,0.2,3,10.4,-44.5,9.58,4,38.9,-58.3,13.8,3.7,15.4
